"Project ID","Project","Project Lead Agency","Project Lead Agency Bureau","Project Category","Project Status","Project Sector","Project Sector Type","Project Location Full Address","Project Location State","Project Location Street Address","Project Location County","Project Location City","Project Location Zipcode","Project Location Latlong","Project Location Latitude","Project Location Longitude"
"104066","Howard Nickell Rd to Highway 412","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Fayetteville, AR, Washington","AR","","Washington","Fayetteville","","POINT (-94.1579584 36.0618562)","36.0618562","-94.1579584"
"104066","Howard Nickell Rd to Highway 412","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Fayetteville, AR, Washington","AR","","Washington","Fayetteville","","POINT (-94.1579584 36.0618562)","36.0618562","-94.1579584"
"104066","Howard Nickell Rd to Highway 412","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Fayetteville, AR, Washington","AR","","Washington","Fayetteville","","POINT (-94.1579584 36.0618562)","36.0618562","-94.1579584"
"104066","Howard Nickell Rd to Highway 412","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Fayetteville, AR, Washington","AR","","Washington","Fayetteville","","POINT (-94.1579584 36.0618562)","36.0618562","-94.1579584"
"104066","Howard Nickell Rd to Highway 412","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Fayetteville, AR, Washington","AR","","Washington","Fayetteville","","POINT (-94.1579584 36.0618562)","36.0618562","-94.1579584"
"104101","Los Lunas I-25 East-West Corridor","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Los Lunas, NM, Valencia","NM","","Valencia","Los Lunas","","POINT (-106.7357525 34.8075184)","34.8075184","-106.7357525"
"104101","Los Lunas I-25 East-West Corridor","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Los Lunas, NM, Valencia","NM","","Valencia","Los Lunas","","POINT (-106.7357525 34.8075184)","34.8075184","-106.7357525"
"104101","Los Lunas I-25 East-West Corridor","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Los Lunas, NM, Valencia","NM","","Valencia","Los Lunas","","POINT (-106.7357525 34.8075184)","34.8075184","-106.7357525"
"104101","Los Lunas I-25 East-West Corridor","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Los Lunas, NM, Valencia","NM","","Valencia","Los Lunas","","POINT (-106.7357525 34.8075184)","34.8075184","-106.7357525"
"104101","Los Lunas I-25 East-West Corridor","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Los Lunas, NM, Valencia","NM","","Valencia","Los Lunas","","POINT (-106.7357525 34.8075184)","34.8075184","-106.7357525"
